NCT ID	Raw CT.gov Conditions	First PMID	Disease MeSH (tree C*/F03*)	ICD-10 Match
NCT03994393	EGFR Mutant Advanced Non Small Cell Lung Cancer	39877028	(none)	-
NCT00127998	Malaria	14506209	(none)	-
NCT04264481	Knee Osteoarthritis	23973124	Arthralgia / epidemiology | Chronic Pain / epidemiology | Osteoarthritis / epidemiology	-
NCT06658002	Fungal Keratitis | Corneal Ulcer	34483271	Corneal Ulcer / drug therapy | Eye Infections, Fungal / microbiology	-
NCT01142531	CT | Bronchodilation | COPD	10988137	Pulmonary Emphysema / diagnostic imaging	-
NCT00833235	Dry Eye	29284427	(none)	-
NCT00550927	Unspecified Adult Solid Tumor, Protocol Specific	22766773	(none)	-
NCT03874689	Taeniosis | Neurocysticercosis	37983246	Intestinal Diseases, Parasitic	-
NCT00813696	Pancreatic Cancer	20194854	Pancreatic Neoplasms / drug therapy	C25
NCT05728060	Radiation Enteritis	41605669	Enteritis / microbiology | Radiation Injuries / microbiology | Uterine Cervical Neoplasms / radiotherapy	-
NCT06152926	Cancer	36291823	(none)	-
NCT07495241	Carotid Web	41340049	(none)	-
NCT00626236	Conduct Disorder | Attention Deficit Disorder With Hyperactivity	22372512	(none)	-
NCT04855929	Lung Cancer | Advanced Solid Tumor | Adult Disease	38243906	(none)	-
NCT01157234	Hypertension	10330062	Hypertension, Renal / metabolism | Kidney Failure, Chronic / metabolism	I12, N18
NCT00417911	Multiple Myeloma	23616624	Multiple Myeloma / drug therapy | Neoplasm Recurrence, Local / drug therapy	Z85
NCT03738813	Upper Extremity Injury | Hemiplegia and/or Hemiparesis Following Stroke	25432120	Brain Ischemia / epidemiology | Stroke / epidemiology	I63
NCT02609672	Osteoarthritis, Hip | Osteoarthritis, Knee	28379878	Musculoskeletal Pain / etiology | Osteoarthritis, Hip / complications | Osteoarthritis, Knee / complications	M17
NCT06307574	Hypertension | Aging | Mild Cognitive Impairment	38487251	(none)	-
NCT04088929	Diabetic Neuropathies	12577252	Diabetes Mellitus / blood | Diabetic Neuropathies / classification | Pain / diagnosis	-
NCT00406133	Type 1 Diabetes	18828243	Diabetes Mellitus, Type 1 / blood	E10
NCT00324714	Osteoporosis | Breast Cancer	38979716	Breast Neoplasms / drug therapy | Osteoporosis / drug therapy	C50, M80-M81
NCT05787223	Visual Impairment	29483748	(none)	-
NCT03338738	Enterobacterial Infection	33794294	(none)	-
NCT06462638	Postpartum Depression | Preterm Birth	31254811	Depression, Postpartum / diagnosis	-
NCT04120961	Coronary Heart Disease	25775052	Myocardial Infarction / drug therapy	-
NCT04813081	Patient Reported Outcome	31461778	Gingival Recession / surgery	-
NCT02162706	Endocrine Disorders	19585406	(none)	-
NCT01555424	The Focus is to Assess 25-hydroxyvitamin D Levels and Well-being	15260882	(none)	-
NCT06421402	COPD | Severe Asthma	37314850	(none)	-
NCT05490628	Fear Anxiety | Cognition Disorder | Stroke	20824849	Stroke / complications	I63
NCT01500850	Insulin-requiring Type 2 Diabetes Mellitus	33166419	Diabetes Mellitus, Type 2 / blood	E11
NCT05549856	Solid Pancreatic Lesions | EUS-FNB	40019152	Pancreatic Neoplasms / pathology	C25
NCT05239351	Lipodystrophy | Plaque | Cicatrix	25473038	Cicatrix | Neovascularization, Pathologic	-
NCT02788435	Unilateral Vocal Cord Lesions	31498467	Laryngeal Diseases / physiopathology	-

=== Summary ===
Studies sampled:	100
Studies with disease MeSH:	55
Studies with NO disease MeSH:	45
Unique raw CT.gov conditions:	159
Unique disease MeSH descriptors:	68
Unique ICD-10 codes mapped:	16
